# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
   24.348697395    1.501706486    1.501707074    1.501707108
   24.408817635    1.499376945    1.499377531    1.499377566
   24.468937876    1.497063398    1.497063982    1.497064017
   24.529058116    1.494765698    1.494766280    1.494766315
   24.589178357    1.492483703    1.492484283    1.492484318
   24.649298597    1.490217272    1.490217850    1.490217885
   24.709418838    1.487966264    1.487966841    1.487966875
   24.769539078    1.485730542    1.485731116    1.485731151
   24.829659319    1.483509968    1.483510541    1.483510576
   24.889779559    1.481304408    1.481304979    1.481305014
   24.949899800    1.479113728    1.479114296    1.479114331
   25.010020040    1.476937795    1.476938361    1.476938396
   25.070140281    1.474776478    1.474777043    1.474777078
   25.130260521    1.472629649    1.472630212    1.472630247
   25.190380762    1.470497179    1.470497740    1.470497775
   25.250501002    1.468378941    1.468379500    1.468379535
   25.310621242    1.466274812    1.466275369    1.466275404
   25.370741483    1.464184666    1.464185221    1.464185256
   25.430861723    1.462108381    1.462108934    1.462108969
   25.490981964    1.460045836    1.460046388    1.460046423
   25.551102204    1.457996912    1.457997461    1.457997496
   25.611222445    1.455961489    1.455962037    1.455962072
   25.671342685    1.453939451    1.453939997    1.453940032
   25.731462926    1.451930681    1.451931225    1.451931260
   25.791583166    1.449935065    1.449935607    1.449935642
   25.851703407    1.447952489    1.447953029    1.447953064
   25.911823647    1.445982841    1.445983379    1.445983414
   25.971943888    1.444026009    1.444026546    1.444026581
   26.032064128    1.442081885    1.442082420    1.442082455
   26.092184369    1.440150358    1.440150891    1.440150926
   26.152304609    1.438231322    1.438231853    1.438231888
   26.212424850    1.436324669    1.436325199    1.436325234
   26.272545090    1.434430295    1.434430824    1.434430859
   26.332665331    1.432548096    1.432548622    1.432548657
   26.392785571    1.430677967    1.430678492    1.430678527
   26.452905812    1.428819808    1.428820331    1.428820366
   26.513026052    1.426973517    1.426974038    1.426974073
   26.573146293    1.425138993    1.425139513    1.425139548
   26.633266533    1.423316139    1.423316657    1.423316692
   26.693386774    1.421504857    1.421505373    1.421505408
   26.753507014    1.419705048    1.419705563    1.419705598
   26.813627255    1.417916619    1.417917132    1.417917166
   26.873747495    1.416139473    1.416139984    1.416140019
   26.933867735    1.414373517    1.414374026    1.414374061
   26.993987976    1.412618657    1.412619165    1.412619200
   27.054108216    1.410874803    1.410875310    1.410875344
   27.114228457    1.409141863    1.409142368    1.409142402
   27.174348697    1.407419746    1.407420250    1.407420284
   27.234468938    1.405708365    1.405708866    1.405708901
   27.294589178    1.404007629    1.404008129    1.404008164
   27.354709419    1.402317453    1.402317951    1.402317986
   27.414829659    1.400637749    1.400638246    1.400638280
   27.474949900    1.398968432    1.398968928    1.398968962
   27.535070140    1.397309418    1.397309912    1.397309946
   27.595190381    1.395660622    1.395661114    1.395661148
   27.655310621    1.394021961    1.394022452    1.394022486
   27.715430862    1.392393354    1.392393842    1.392393877
   27.775551102    1.390774718    1.390775205    1.390775239
   27.835671343    1.389165973    1.389166459    1.389166493
   27.895791583    1.387567040    1.387567525    1.387567559
   27.955911824    1.385977840    1.385978323    1.385978357
   28.016032064    1.384398294    1.384398775    1.384398809
   28.076152305    1.382828325    1.382828804    1.382828838
   28.136272545    1.381267856    1.381268334    1.381268368
   28.196392786    1.379716812    1.379717288    1.379717322
   28.256513026    1.378175117    1.378175592    1.378175626
   28.316633267    1.376642697    1.376643171    1.376643205
   28.376753507    1.375119479    1.375119951    1.375119985
   28.436873747    1.373605389    1.373605860    1.373605894
   28.496993988    1.372100356    1.372100825    1.372100859
   28.557114228    1.370604307    1.370604775    1.370604809
   28.617234469    1.369117173    1.369117639    1.369117673
   28.677354709    1.367638882    1.367639347    1.367639381
   28.737474950    1.366169366    1.366169830    1.366169863
   28.797595190    1.364708556    1.364709018    1.364709052
   28.857715431    1.363256383    1.363256844    1.363256878
   28.917835671    1.361812781    1.361813240    1.361813274
   28.977955912    1.360377683    1.360378140    1.360378174
   29.038076152    1.358951021    1.358951478    1.358951511
   29.098196393    1.357532732    1.357533187    1.357533221
   29.158316633    1.356122750    1.356123204    1.356123237
   29.218436874    1.354721011    1.354721463    1.354721496
   29.278557114    1.353327451    1.353327902    1.353327935
   29.338677355    1.351942007    1.351942457    1.351942490
   29.398797595    1.350564618    1.350565066    1.350565099
   29.458917836    1.349195220    1.349195667    1.349195700
   29.519038076    1.347833753    1.347834198    1.347834231
   29.579158317    1.346480156    1.346480600    1.346480633
   29.639278557    1.345134370    1.345134812    1.345134845
   29.699398798    1.343796334    1.343796775    1.343796808
   29.759519038    1.342465990    1.342466430    1.342466463
   29.819639279    1.341143279    1.341143718    1.341143751
   29.879759519    1.339828144    1.339828581    1.339828614
   29.939879760    1.338520527    1.338520963    1.338520995
   30.000000000    1.337220371    1.337220806    1.337220839
